Date,full_text
2021-01-30,"Partnership is key to addressing GlobalHealth challenges, including the fight against NTDs, like trachoma. Today on WorldNTDDay, learn about our longstanding partnership with  and others to help end trachoma:  BeatNTDs "
2021-01-29,"Ahead of WorldNTDDay tomorrow, learn about our longstanding partnership with  and others to help protect the 137M people at risk of contracting trachoma, the world’s leading infectious cause of blindness:  InfectiousDiseases "
2021-01-29,"Later today,  joins leaders at the  to discuss our response to the pandemic &amp; commitment to working together to improve access to care for all: 





 

DavosAgenda "
2021-01-28,"Pfizer’s Jim Sage joined  for a Congressional Brief to discuss the challenges that chronicpain patients face and the importance of continuing to advance innovation in treatment and care. 

(Sponsored by Pfizer) "
2021-01-27,"Osteoarthritis is a leading cause of chronic pain and disability worldwide. The condition represents a substantial and increasing health burden with significant implications for individuals, health care systems, and society. "
2021-01-27,
2021-01-27,"The  is LIVE with Pfizer’s Chief Scientific Officer, Mikael Dolsten. Tune in now to hear more about our journey to a COVID19 vaccine, including what it took to get here and what the future looks like. TheHillVaccine  "
2021-01-27,"We’re looking forward to continuing the conversation around eczema soon—we’ll be providing you with real stories from patients and caregivers, resources to help guide conversations with your doctor, and more. Stay tuned for EczemaInsideOut!  "
2021-01-26,The Pfizer-BioNTech COVID-19 vaccine has not been approved or licensed by the U.S. FDA but has been authorized for emergency use to prevent COVID-19 in individuals 16+. See conditions of use: 
2021-01-26,"Join our Chief Scientific Officer, Mikael Dolsten, LIVE on  tomorrow in discussion on COVID19 and Pfizer’s journey over the last year:  TheHillVaccine "
2021-01-26,"El temor al COVID19 ha causado que se reduzcan las pruebas de detección del cáncer y citas de seguimiento. Para los sobrevivientes del cáncer, esto supone una gran amenaza. Diego Sacristan destaca la necesidad de continuar la atención contra el cáncer:

 "
2021-01-26,"Fear around COVID19 has led to reduced cancer screenings &amp; follow-up appointments. For those affected by cancer, this poses a major threat. Diego Sacristan highlights the need for continuing cancer care in the . 

"
2021-01-26,: The Pfizer-BioNTech COVID-19 vaccine has not been approved or licensed by the U.S. FDA but has been authorized for emergency us…
2021-01-26,": “R&amp;D should be rewarded with risks,” Dolsten said, but added that when companies like Moderna are given huge lump sums,…"
2021-01-26,The Pfizer of 2021 is all about science and patients. Hear our Chairman &amp; CEO  talk with  about how our evolution into a more focused and innovative biopharma company offers us more opportunities to change lives.  
2021-01-26,"2021’s   biennial ranking has Pfizer among the top five pharmaceutical companies, due to our commitment to access, delivery, and R&amp;D. Learn more about the work we’re doing, and why we moved up:  "
2021-01-25,"At  TheYearAhead,  will discuss how Pfizer plans to progress our science, drive innovation &amp; keep patients at the forefront in 2021.

⌚: Tuesday, Jan 26 at 8:05 am ET
📱 💻 :  "
2021-01-25,"NEWS: The final 12 to 15-year-old participant groupwas enrolled this week in the Pfizer/BioNTech COVID19 vaccine clinical trial.

To find the latest information on our clinical trial, please visit:  "
2021-01-22,We are proud to announce that Pfizer &amp; BioNTech have signed an agreement with COVAX for up to 40M doses of our COVID19 vaccine. This is an important step in the fight against the virus – a fight that will only end when we have OneWorldProtected.   
2021-01-21,We’re glad to see &amp; support the great strides in research that  is making towards CancerHealthEquity! Learn more about the manuscript their Diverse Cancer Communities Working Group recently published. 
2021-01-21,"Explore Behind the Sc(i)en(c)e, our new video series giving a glimpse at the trailblazing work being done by our scientists, told by our scientists. Watch the science of a potential vaccine for LymeDisease here: "
2021-01-20,": According to , 's Ad Awareness increased by 66% in 2020. ScienceWillWin ClientWork "
2021-01-19,"Eczema can lead to physical and emotional burdens. That’s why conversations around the management of eczema, also known as atopic dermatitis (AD), are important. Tell us—how comfortable are you speaking about the impact of your eczema? "
2021-01-18,"Grant Opportunity for HCPs and Research Scientists: Not only is ATTRCM a rare and life-threatening cardiac condition, it’s also significantly underdiagnosed. In collaboration with , we’re supporting research into new diagnostics."
2021-01-18,"Dr. Martin Luther King Jr. once said, “The ultimate measure of a man is not where he stands in moments of comfort and convenience, but where he stands at times of challenge and controversy.” We honor Dr. King as his vision of unity lives through Pfizer colleagues each day. "
2021-01-15,Press play ▶️  to check out this cool behind-the-scenes look of our new window installation at our New York HQ. ScienceWillWin 
2021-01-14,"Physical symptoms of eczema, or atopic dermatitis (AD), can be challenging enough, but the impact beyond physical symptoms may be even more difficult to talk about. W/ EczemaInsideOut, we’re encouraging those w/ eczema to have conversations about all aspects of their care needs."
2021-01-14,"We recognize knowledge exchange as important to continuing education continuum. Learn how our independent medical education grants provide funding for educational initiatives that maintain, develop or increase the knowledge and skills of HCPs.  "
2021-01-13,"We are closely monitoring the new strains and mutations from the virus’ variants. One of the reasons we chose mRNA technology is because of its potential flexibility, including the ability to alter the RNA sequence in the vaccine to potentially address new strains of the virus."
2021-01-13,"We have shipped over 30M doses globally to over 45 countries, with over 10,000 shipments executed to date, and we're proud to have managed this without any major disruptions or events.

JPM2021"
2021-01-13,"The ability to vaccinate at speed to gain herd immunity and stop transmission is our highest priority. There is a lot of work ahead, and our focus is on supporting points of vaccination💉, as that’s key to increasing the volume of people getting vaccinated every day.

JPM2021"
2021-01-13,"She's joining a powerhouse group of players in vaccine development and distribution, including McKesson CEO Brian Tyler, CVS Health EVP &amp; Aetna president , Moderna CEO Stephane Bancel and Dr. Moncef Slaoui, Chief Advisor on Operation Warp Speed.

JPM2021"
2021-01-13,"Angela Hwang, our Group President, Biopharmaceuticals, shares updates on our COVID19 vaccine during this year’s 39th Annual  Healthcare Conference. 

Check out this 🧵 to hear more from Angela. JPM2021 "
2021-01-13,The Pfizer-BioNTech COVID-19 vaccine has not been approved or licensed by the U.S. FDA but has been authorized for emergency use to prevent COVID-19 in individuals 16+. See conditions of use: 
2021-01-12,"EstimATTR, our new educational tool for healthcare providers, highlights clinical conditions commonly associated with wtATTR-CM by combining expert medical knowledge with research in bigdata and ArtificialIntelligence. digitalhealth"
2021-01-11,Quality improvement grants support projects in inflammation &amp; immunology that address practice gaps and have the potential to improve patient outcomes in areas of unmet medical need. Watch this video to learn more:  
2021-01-11,We proudly stand with our scientists who work tirelessly in the pursuit of treatments that save and extend lives. ScienceWillWin 
2021-01-11,JPM2021: Tomorrow  joins a fireside chat with  analyst Chris Schott. Listen to the conversation here:  $PFE 
2021-01-09,We’re leading the charge in AI with the development of EstimATTR. This tool aims to educate healthcare providers about combinations of cardiac and non-cardiac conditions known to be associated with wild-type ATTR-CM.
2021-01-08,The blood-brain barrier has long been the Achilles’ heel of targeted cancer therapies. But scientists at Pfizer Boulder Research &amp; Development are working to develop next generation cancer medicines that can have the potential to penetrate the wall. Learn more:
2021-01-08,We are using bigdata and digital technologies such as ArtificialIntelligence to improve awareness of wtATTR-CM clinical conditions. digitalhealth
2021-01-08,"In additional to a vaccine, antivirals can play an important role in fighting viruses. Our investigational antiviral for COVID19 is currently in clinical trials and we are hopeful for its success."
2021-01-06,We are bridging the gap between our digitalinnovation and raredisease teams to provide a new educational tool for healthcare providers supporting underdiagnosed communities. ATTRCM digitalhealth
2021-01-05,"In order to realize the breakthroughs of the future, we’ve revolutionized how we work today. We're unlocking the pill to reveal Pfizer’s DNA: the power of science. "
2021-01-01,Here’s to science bringing some much needed light into 2021.💥🧪 Wishing you all a Happy New Year!🎇🎆 
2020-12-29,"NEWS: In partnership with the _Commission, today we announced an agreement to supply an additional 100M doses of the Pfizer-BioNTech COVID19 Vaccine to the 27 EU member states.

More information here:   "
2020-12-29,"We are leveraging our 20+ year heritage in hemophilia to continue to support research into basic, clinical science for this disorder and potential treatments. Learn more and apply for the new grant program – including one specifically targeting young investigators – here:"
2020-12-28,"Studies to date estimate that the novel coronavirus mutates at a rate approximately four times slower than the seasonal flu. To understand more how viruses change, read our guide here:"
2020-12-24,Happy Holidays from all of us at Pfizer. 
2020-12-23,Antivirals are drugs used to treat viral infections. What role might our investigational antiviral against COVID19 play in fighting the global pandemic? Learn more:
2020-12-23,Do you know why music elicits a powerful effect on the mind? Find out more.
2020-12-23,Our Oncology Global President &amp; General Manager  reflects on how leaders can create company cultures where Millennials and GenZers can grow and thrive. Read more here: 
2020-12-23,"NEWS: Today we announced a second agreement with the U.S. government to supply our COVID19 vaccine, developed with _Group, to Operation Warp Speed. Read about the agreement here:   "
2020-12-22,Is rheumatoid arthritis hereditary or genetic? Find out here: rheumatoidarthritis RA genetics
2020-12-22,Adriana leads a team that prepares clinical trial samples for analysis. Hear what drives her passion for science. 🧬🔬 
2020-12-22,"Hemophilia is a rare, genetic disorder that causes blood not to clot properly, increasing the risk of spontaneous bleeding, and also prolonged bleeding following injuries or surgery. We are continuing to support research into the treatment and burden of this rare disorder:"
2020-12-22,: Notes like these are reminders of why we do the work we do at . 
2020-12-21,"Sandy, who manages diversity in clinical trials, shares what motivates her work and why it is deeply personal.

RealPeopleRealVoices PfizerProud "
2020-12-21,NEWS: The _Commission 🇪🇺 granted a conditional marketing authorization for our COVID19 vaccine with _Group.   
2020-12-21,"A day to remember and to celebrate. Mike McDermott, President of Pfizer Global Supply, shares why December 13, 2020 is now on “his list.” 🗓 "
2020-12-21,What are the differences between biologics and biosimilars? Learn the important facts about these two therapeutics.
2020-12-19,": Congratulations to everyone at _tx! The world needs multiple tools in the battle against COVID19, and I am very…"
2020-12-18,". and ’ Alex Gorsky spoke recently with Mike Milken at the ’s Future of Health Summit.

ICYMI – Listen to their conversation here:   "
2020-12-16,"James knows what it takes to get our medicines and vaccines transported safely to patients around the globe.  

Nickname: “The Ice Man” 🧊
Job: Temperature Control Logistics 📦

RealPeopleRealVoices "
2020-12-16,💙💙💙 
2020-12-15,": Every day, I’m asked variations of the same question: How will  &amp; _Group rapidly, seamlessly distribute o…"
2020-12-15,"PfizerProud to announce that our scientists have dosed the first patients in a Phase 2 trial. This is a novel investigational medicine that is being researched for restoration of bone growth in children born with Achondroplasia, the most common form of dwarfism. Learn more:"
2020-12-15,We’re applying scientific innovation to help fight climate change by reducing our carbon emissions and the environmental impact of our medicines. Learn more about our renewed climate action commitments here: 
2020-12-14,": Terrific to see this message outside our office in Collegeville, PA. I’m sure it brought joy to our colleagues there. Th…"
2020-12-14,A weekend away in nature can be life changing for women with BreastCancer. We’re joining  on Dec 16 at 12pm ET on Facebook and LinkedIn for a live discussion about how they use fly fishing as a form of therapy.  HealthEquity 
2020-12-14,"PfizerProud 💙
.
.
The Pfizer-BioNTech COVID19 vaccine has not been approved or licensed by the _FDA but has been authorized for emergency use to prevent COVID-19 in individuals 16+. See conditions of use:  "
2020-12-14,"Pfizer is proud to support independent initiatives to improve patient outcomes through our competitive grants program in inflammation &amp; immunology. Learn about these programs from Ehab Mahgoub, MS, MSc, VP of I&amp;I at Pfizer  "
2020-12-13,"📸: The first shipment from our Kalamazoo plant.   
.
.
The Pfizer-BioNTech COVID19 vaccine has not been approved or licensed by the _FDA but has been authorized for emergency use to prevent COVID-19 in individuals 16+. See conditions of use:  "
2020-12-12,"UPDATE: The 's Advisory Committee on Immunization Practices (ACIP) voted today to recommend the use of the Pfizer-_Group COVID19 mRNA vaccine, in people 16 years of age and older.

More:   "
2020-12-12," Thanks, . 💙 Together, WeStandWithScience.
.
.
The Pfizer-BioNTech COVID-19 vaccine has not been approved or licensed by the U.S. FDA but has been authorized for emergency use to prevent COVID-19 in individuals 16+. See conditions of use: "
2020-12-12,: Community health workers play an important role in connecting communities with health information and services in Indonesia. @…
2020-12-12,"The story of how Pfizer delivered a COVID19 vaccine.

The Pfizer-BioNTech COVID-19 vaccine has not been approved or licensed by the _FDA but has been authorized for emergency use to prevent COVID-19 in individuals 16 &amp; older. See conditions of use:  "
2020-12-12,NEWS: The Pfizer-_Group COVID19 vaccine has not been approved or licensed by the _FDA but has been authorized for emergency use to prevent COVID-19 in individuals 16 &amp; older. See conditions of use:  
2020-12-11,"How can today’s PublicHealth crisis help prepare us for the next one? Ahead of UHCDay, read more in  from Darren Back about how strengthening health systems can help us prevent the next GlobalHealth emergency:  InfectiousDiseases "
2020-12-10,The _FDA Vaccines and Related Biological Products Advisory Committee (VRBPAC) voted in support of granting Emergency Use Authorization (EUA) in the US for the Pfizer-_Group COVID19 mRNA vaccine:  
2020-12-10,"Last month, our colleagues ditched their razors and grew out their facial hair 👨🏽👨🏼 to support ’s annual GrowAndGive initiative &amp; raise awareness for the prostatecancer community. PfizerProud "
2020-12-10,"NEWS:  published safety and final efficacy results from the Phase 3 trial of our COVID19 vaccine, developed w/ _Group, confirming the candidate was well tolerated &amp; demonstrated a 95% efficacy in those who participated in the trial.  "
2020-12-08,"Innovative technologies like mRNA vaccines, currently being investigated, may be critical in the fight against COVID19 — watch to learn more. "
2020-12-08,Learn how The Pfizer Foundation’s support of  is helping US safety-net community health providers like  in its fight against InfectiousDisease and helping improve HealthEquity  
2020-12-08,Investigator sponsored research is essential to advancing medical and scientific knowledge about treatment. That’s why Pfizer supports independent research studies in inflammation &amp; immunology through our grants program. Check out this video to learn more. 
2020-12-08,"Obesity is a serious disease that is linked to many life-threatening health conditions, including heart disease. "
2020-12-08,"We are proud to be one of the 70+ companies involved in ’s CatalystForChange initiative. Progress for diversity, equity &amp; inclusion depends on accountability. Hear from our CEO  below and learn more at  "
2020-12-07,"Of the billions invested in breastcancer research, only a fraction goes to metastaticbreastcancer. For us, nothing is more personal, or more urgent, than finding cures for this deadly disease. Here’s how we’re partnering 🤝 with the healthcare community:  "
2020-12-07,"On Nov 20, we submitted a request to _FDA for Emergency Use Authorization of our investigational COVID19 vaccine with _Group.
 
What is an EUA? 💭 Commissioner  shares more. "
2020-12-07,_biobank: UKBiobank launches a new scientific study measuring circulating proteins to better understand the link between genetics a…
2020-12-07,"The Pfizer Foundation is supporting organizations serving the African American community with 10 new grants to advance healthequity and strengthen health systems. 

Learn more here:  

Equity PfizerProud "
2020-12-07,What are the differences between the symptoms for COVID19 and other common respiratory viruses? Read:  
2020-12-07,Tune in 🎦 to the MIHealthSummit at 12 pm ET 🕛 for a conversation 💬 with our CEO  and CEO of  Alex Gorsky. 
2020-12-07,"@_flying_saucer Thank you for reaching out.  To contact us directly, please visit "
2020-12-02,"UPDATE: The  issued a temporary authorization for emergency use of our COVID19 vaccine with _Group in the United Kingdom.

This marks the first authorization of a vaccine to help fight the pandemic following a worldwide trial."
2020-12-01,"Jacklyn, who is living with UlcerativeColitis, learned to advocate for herself with support from her family and healthcare team. This CCAwarenessWeek, she hopes sharing her story inspires others living with UC. Visit  and watch her story. "
2020-12-01,What are the best ways to manage the combination of eczema and stress? Read tips from Pfizer’s Dr. Mark Levenberg.
2020-11-30,What are the differences between the symptoms for COVID19 and other common respiratory viruses? Read:  
2020-11-30,Learn how Type2Diabetes may affect the ❤. DiabetesAwarenessMonth NDAM
2020-11-29,"Lung cancer is the world’s leading cause of cancer-related death. However, our goal is to provide hope as we continue to address the diverse needs of those living with lungcancer. See how we’re committed to this community &amp; join us this LungCancerAwarenessMonth.

LCAM
LCSM "
2020-11-25,"Join Pfizer for a virtual HealthcarePartneringWeek from January 11-15, 2021 where we will discuss partnership and collaboration opportunities to bring breakthrough therapies and vaccines to patients. Learn more about partnering with Pfizer at  "
2020-11-25,"Q: How is the cold chain distribution for the Pfizer-BioNTech investigational vaccine being managed? (7/7) 

A: "
2020-11-25,"Q: How will you ensure consistent high-quality standards throughout the manufacturing and supply chain processes? (6/7)

A: "
2020-11-25,"Q: Are Pfizer and BioNTech able to manufacture enough vaccine doses? (5/7)

A: "
2020-11-25,"Q: When will the investigational vaccine be fully approved? (4/7)

A: "
2020-11-25,"Q: If the Pfizer and BioNTech COVID-19 vaccine candidate is authorized for emergency use in the U.S., who will receive it first? (3/7)

A: "
2020-11-25,"Q: What happens after the U.S. EUA application is submitted? How does it get authorized for use? (2/7)

A: "
2020-11-25,"You’ve got questions, we’ve got answers. Angela Hwang, our Group President, Biopharmaceuticals, answers questions on our COVID19 vaccine candidate. 

Kicking off the 🧵, Q: What is the status of the Pfizer and BioNTech investigational COVID-19 vaccine candidate? (1/7)

A: "
2020-11-25,"Our Global President of Vaccines, Nanette Cocero, joined ’s annual Health Summit to talk about removing barriers to Latino participation in COVID19 vaccine trials. Learn more here:  CHCISummit LatinoLeadership Equity "
2020-11-24,You inherit more than looks from relatives. Why is it important to know your family health history?   
2020-11-24,"As part of our commitment to supporting the raredisease community for over 30 years, learn how we maintain rigorous safety &amp; quality checks into our manufacturing process to deliver high-quality treatments to those who need them most: "
2020-11-24,"Although WAAW2020 might be over, the threat of antimicrobial resistance is not. But by taking individual steps today, together we can help reduce the spread of AMR. ActAgainstAMR Find out how here:  "
2020-11-24,To all the participants in our COVID-19 vaccine trial around the world 🌏 . . . Thank You. 
2020-11-23,"You might be aware of the term “antimicrobial resistance” and, possibly the steps you can take to help reduce its spread... But what do you know about antimicrobial surveillance, and the role that it can play to help StopSuperbugs? 🦠 Learn more below: "
2020-11-23,"2020 has been a difficult year for many, but if you can’t shake the negative feelings, it may be a sign of chronicstress.  "
2020-11-21,"How clean are your hands? We all know handwashing can help stop a virus in its tracks, but did you know it can StopSuperbugs too? Watch below for the best handwashing technique to tackle germs WAAW2020 🧼 "
2020-11-20,"UPDATE: Pfizer and _Group have submitted an EUA request to the _FDA for our COVID19 vaccine candidate.

Watch 's reaction to a moment 248 days in the making. ScienceWillWin "
2020-11-20,"Innovative technologies like mRNA vaccines, currently being investigated, may be critical in the fight against COVID19 — watch to learn more. "
2020-11-20,"Vaccines are a key tool in the fight against AMR. By helping to prevent certain infectious diseases, they can help to reduce the need to take antibiotics in the first place.  Learn more about how this works below WAAW2020 StopSuperbugs ActAgainstAMR "
2020-11-20,"Let’s bust some myths about antibiotics! Always take antibiotics for as long as your doctor tells you and NEVER share them.  Plus, antibiotics have no effect on common colds, 6 which are caused by viruses WAAW2020 StopSuperbugs ActAgainstAMR🦠"
2020-11-20,"Say Their Name. This year is the highest on record of lives lost in the U.S. to anti-transgender violence. That is unacceptable. Every person deserves to be seen, heard, and cared for. This happens when we are inclusive, act with integrity, and reduce healthcare disparities.TDoR "
2020-11-20,COVID19 UPDATE: We will submit a request today to the _FDA for Emergency Use Authorization (EUA) of our mRNA vaccine candidate with _Group.
2020-11-19,"Wear a mask, save lives. ScienceWillWin "
2020-11-19,Our Multicultural Center of Excellence is proud to partner with the National Congress of American Indians to discuss PfizerRxPathways and ways to address patient access gaps at the  77th Annual Convention meeting. Learn more:  HealthEquity 
2020-11-19,": COVID19 is speeding our march towards an AntibioticResistance catastrophe, write  Dame Sally Davies and …"
2020-11-19,"Tune in to _Health Total Health tmrw at 10:30am ET, to hear Angela Hwang share how Pfizer became an early mover in finding a COVID19 vaccine, &amp; what goes into launching a vaccine during the pandemic, assuming regulatory authorization or approval.  "
2020-11-19,"Think you know how to take antibiotics responsibly? To help StopSuperbugs, which of the following statements is true about antibiotics:"
2020-11-19,"Antimicrobial medicines, especially antibiotics, are one of the most important discoveries in medical history  but their overuse has enabled some bacteria to develop resistance to them.1 During WAAW2020, learn about responsible antimicrobial use below and help us StopSuperbugs "
2020-11-19,"We are proud to support the LGBTQ community both within our Pfizer community and beyond. Being an ally is an ongoing process, and in recognition of TransAwarenessWeek we ask you to join us in focusing on how we can all advocate for trans and nonbinary people. "
2020-11-19,"Cancer screenings have decreased due to COVID19, but cancer doesn’t wait. Doctors' offices are likely taking steps to make visits safer, from wearing masks to using virtual visits. Visit “Get It Done” to find resources for your next appointment."
2020-11-18,: Ongoing coordination is critical to help ensure efficient vaccine distribution as soon as possible if our vaccine candida…
2020-11-18,: We are thrilled to be working with  on our COVID19 Immunization Pilot Program. To build on our coordination…
2020-11-18,": We are very pleased to be working alongside  in paving the way for distribution of our potential vaccine, if a…"
2020-11-18,Many antibiotics are becoming ineffective as bacteria continue to evolve. Learn about our data-driven partnerships w/   &amp;  to combat this global health threat WAAW2020 StopSuperbugs
2020-11-18,KnowTheFacts: Answers to your biggest questions about the progress of our COVID19 vaccine candidate &amp; more information on next steps.
2020-11-18,"Antimicrobial resistance, or AMR, is a growing public health issue.1 But each of us can take small steps today to help reduce the spread of AMR, like regular hand washing and using antibiotics as directed by your doctor. Learn more here 👇 WAAW2020 ActAgainstAMR "
2020-11-18,Are your winter blues more than a normal response to the dark days of winter? Get the facts about SAD:
2020-11-18,We also plan to submit the efficacy and safety data from the study for peer-review in a scientific journal once analysis of the data is completed.
2020-11-18,"Within days, we plan to submit a request to the _FDA for an EUA based on the totality of safety and efficacy data collected, as well as manufacturing data relating to the quality and consistency of the vaccine candidate."
2020-11-18,"Additionally, the safety milestone required by _FDA for Emergency Use Authorization (EUA) has been achieved. To date, no serious safety concerns related to the vaccine candidate have been reported."
2020-11-18,"The study reached 170 confirmed cases of COVID19, with the vaccine candidate BNT162b2 demonstrating 95% efficacy beginning 28 days after the first dose."
2020-11-18,"BREAKING: We are proud to announce, along with _Group, that the Phase 3 study of our COVID19 vaccine candidate has met all primary efficacy endpoints."
2020-11-18,"At Pfizer, we are working to “Undo Underrepresented” in clinical trials and improve awareness and access for all patients. Learn more about our efforts here:  "
2020-11-17,"As a  member, Pfizer is committed to working with biopharma peers to help address health inequities and build a system of scientific innovation that better serves all patients. Learn more about the industry-wide statement of principles here:  "
2020-11-17,AFib is the most common type of irregular heartbeat and is a significant risk factor for stroke. Check out  this GlobalAFAwareWeek to learn more about the condition.
2020-11-17,"According to , Cdiff infection is an urgent public health threat. To help raise awareness, in partnership with Pfizer, a group of experts recently launched the C. difficile Awareness Initiative. Learn more about their work:"
2020-11-17,"Type2Diabetes is a chronic disease that occurs when the body does not make or use insulin properly. Symptoms like excessive thirst, blurry vision and frequent infections may lead to severe complications and hospitalization. Help us spread awareness. DiabetesAwarenessMonth NDAM"
2020-11-17,At 2:05 PM ET  will join  at the STATSummit for a live discussion about Pfizer's COVID19 vaccine development program &amp; more. Details here:  
2020-11-17,"Tune in to 's  Online Summit at 1 PM ET to hear from  as he takes the virtual stage with ,  &amp; .

Register here to join for free 👇
 "
2020-11-17,"Biomarkers have revolutionized lungcancer treatment, especially those with NSCLC. But what exactly are biomarkers? And why do they hold such valuable information? Pfizer expert explains here:"
2020-11-16,"Our CEO  discusses the staggering economic, health, and equity effects of the pandemic. Read more on the value that rapid, reliable delivery of a potential COVID19 vaccine could bring:"
2020-11-16,"DYK your ABCs? It’s important for people with type 2 diabetes to keep their ABCs (A1C, blood pressure &amp; cholesterol) under control and manage their diabetes to reduce their risk of complications, such as CVD, stroke and serious illness related to COVID19. AHA2020 "
2020-11-16,Race &amp; age can play a factor in both cancer diagnosis &amp; treatment. Learn how we’re helping address these disparities in older people living with lungcancer. LCAM HealthEquity 
2020-11-16,: I am thrilled to hear the good news coming out of _tx’s COVID19 vaccine development program. Our companies share…
2020-11-15,Your risk of becoming seriously ill from COVID19 is likely to be lower if your type 2 diabetes is well managed. A healthy lifestyle is a key element of a T2D management plan AHA2020. 
2020-11-14,"DYK over half of people with diabetes worldwide are undiagnosed. It’s important to stay informed about type2diabetes symptoms, which can sometimes be hard to spot. "
2020-11-14,"Having type2diabetes can feel overwhelming, but collaborating with a health care team can help patients with their daily management plan. WorldDiabetesDay "
2020-11-14,Thank you to the millions of nurses worldwide for making the difference by supporting people with type2diabetes. WorldDiabetesDay NursesMakeTheDifference 
2020-11-13,We are proud to support partners like  in combatting the effects of COVID19. Learn more:  
2020-11-12,"Antimicrobials, especially antibiotics, are becoming less effective as bacteria develop resistance to them.  But surveillance, prevention, appropriate treatment &amp; education can help us fight back! This WAAW2020 we’ll be sharing tips on how to ActNow to StopSuperbugs 🧫 "
2020-11-12,Our Oncology Global President &amp; General Manager  spoke w/  about how we can modernize our healthcare system to better serve people living w/ cancer. Read more here:
2020-11-12,"WorldPneumoniaDay, annually observed on Nov 12, is dedicated to spotlighting pneumonia and the dangers it presents. Hear from our scientists who are working tirelessly to help protect people across the globe from vaccine-preventable diseases like pneumococcal pneumonia 👩‍🔬👨‍🔬🔬 "
2020-11-11,Cancer doesn’t discriminate &amp; neither should cancercare. Learn how we’re partnering w/ the cancer community to help address disparities in care &amp; increase access to treatments for all people living with this disease. LCAM HealthEquity 
2020-11-11,"To our veterans in Pfizer, to all those who have served, and those who continue to serve: Happy VeteransDay 🇺🇸"
2020-11-11,"As COVID19 continues to impact communities in the US and around the world, The Pfizer Foundation is providing support to slow the spread of the pandemic and meet front line needs of partners. Learn more:  InfectiousDiseases "
2020-11-11,"Our CEO  spoke with  of  about our COVID19 vaccine efficacy results this week, and what next steps there are in the development process. "
2020-11-11,": Just as important as developing a safe, effective COVID19 vaccine is getting it in the hands of people around the world.…"
2020-11-10,"Yesterday, our Masum Hossain spoke during  WorldCancerSeriesEurope, about the challenges COVID19 has presented for people living with cancer &amp; how we can ensure they continue to receive proper care throughout the pandemic. Watch here:  "
2020-11-10,"How to protect yourself and others? Everyone should continue to 👇

☀️ Keep activities &amp; celebrations outside
😷 Wear a face covering
📏 Maintain a safe social distance
❌ Avoid large groups &amp; gatherings

➡️: "
2020-11-10,"Yesterday’s news was a first but critical step as we continue our work to try to deliver a safe and effective vaccine.

But around the world 🌍, infection rates are setting new records 📈, hospitals are nearing over-capacity 🏥 and economies are struggling to reopen 🌐."
2020-11-10,"Be resilient. Be persistent. Be patient. See what advice our scientists 👩🏻‍🔬👨🏾‍🔬 would give to the next generation of science seekers. WorldScienceDay 
 "
2020-11-10,"People with Type2Diabetes are at greater risk of developing high blood pressure, which may lead to serious complications like heart attack or stroke. Share to spread awareness. DiabetesAwarenessMonth NDAM"
2020-11-10,A scientist 👩🏽‍🔬 can spend months working on a new experiment to find out that it doesn’t work. See how our colleagues handle these roadblocks &amp; continue to come up with new ways to do research 🔬. WorldScienceDay  
2020-11-09,"Leading up to WorldScienceDay, see what motivates our colleagues to discover new medicines. 🧪  "
2020-11-09,"There are 3 critical areas where we must demonstrate success before filing for EUA of our COVID19 vaccine

▶️ Evidence of efficacy in most vaccinated patients

▶️ Evidence of safety w/ data from thousands of patients

▶️ Manufactured consistently at the highest quality standards"
2020-11-09,: We welcome the encouraging vaccine news from  &amp; _Group &amp; salute all scientists &amp; partners around the 🌍 who ar…
2020-11-09,An update from  on our investigational COVID19 vaccine program with _Group.
2020-11-09,This is a first but critical step as we continue our work to try to deliver a safe and effective COVID19 vaccine.
2020-11-09,"Efficacy in the majority of participants, safety data and consistent manufacturing are the three requirements that are needed before we are able to file for Emergency Use Authorization."
2020-11-09,"UPDATE: We are proud to announce, along with _Group, that our mRNA-based vaccine candidate has, at an interim analysis, demonstrated initial evidence of efficacy against COVID19 in participants without prior evidence of SARS-CoV-2 infection."
